sagitta_h_mm,x_mm,y_mm,angle_deg,alignment,group,d_lateral_mm,efficiency_pct,k,kQ,Q_rx,M_nH,S21_dB,coupling_regime
0,0,0,0,x-axis,control,0.0,0.60215,0.09961211,12.80881,128.59,630.9266,-16.182,overcoupled
0,0,5,0,y-axis,control,5.0,0.61493,0.09855878,12.67337,128.59,624.255,-16.091,overcoupled
0,0,10,0,y-axis,control,10.0,0.65579,0.0953988,12.26704,128.59,604.2402,-15.812,overcoupled
0,0,15,0,y-axis,control,15.0,0.73351,0.09013216,11.58982,128.59,570.8822,-15.325,overcoupled
0,0,20,0,y-axis,control,20.0,0.86764,0.08275887,10.64171,128.59,524.18099,-14.596,overcoupled
0,0,25,0,y-axis,control,25.0,1.10134,0.07327893,9.42271,128.59,464.13659,-13.56,overcoupled
0,0,30,0,y-axis,control,30.0,1.53975,0.06169233,7.93283,128.59,390.74899,-12.105,overcoupled
0,0,35,0,y-axis,control,35.0,2.49249,0.04799907,6.17205,128.59,304.01819,-10.013,overcoupled
0,0,40,0,y-axis,control,40.0,5.20801,0.03219917,4.14039,128.59,203.94419,-6.813,overcoupled
0,0,45,0,y-axis,control,45.0,15.98775,0.0155636,2.00128,128.59,98.5773,-1.942,overcoupled
0,0,50,0,y-axis,control,50.0,15.77308,0.00384269,0.49412,128.59,24.33899,-2.0,undercoupled
0,0,55,0,y-axis,control,55.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,60,0,y-axis,control,60.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,65,0,y-axis,control,65.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,70,0,y-axis,control,70.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,75,0,y-axis,control,75.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,80,0,y-axis,control,80.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,85,0,y-axis,control,85.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,90,0,y-axis,control,90.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,95,0,y-axis,control,95.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,100,0,y-axis,control,100.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,5,0,0,x-axis,control,5.0,0.61493,0.09855878,12.67337,128.59,624.255,-16.091,overcoupled
0,5,5,0,diagonal,control,7.071,0.62812,0.09750545,12.53793,128.59,617.5834,-15.999,overcoupled
0,10,0,0,x-axis,control,10.0,0.65579,0.0953988,12.26704,128.59,604.2402,-15.812,overcoupled
0,10,10,0,diagonal,control,14.142,0.7169,0.09118549,11.72526,128.59,577.5538,-15.425,overcoupled
0,15,0,0,x-axis,control,15.0,0.73351,0.09013216,11.58982,128.59,570.8822,-15.325,overcoupled
0,15,15,0,diagonal,control,21.213,0.91272,0.08065222,10.37082,128.59,510.83779,-14.376,overcoupled
0,20,0,0,x-axis,control,20.0,0.86764,0.08275887,10.64171,128.59,524.18099,-14.596,overcoupled
0,20,20,0,diagonal,control,28.284,1.35441,0.06590564,8.4746,128.59,417.43539,-12.662,overcoupled
0,25,0,0,x-axis,control,25.0,1.10134,0.07327893,9.42271,128.59,464.13659,-13.56,overcoupled
0,25,25,0,diagonal,control,35.355,2.59956,0.04694575,6.03661,128.59,297.34659,-9.83,overcoupled
0,30,0,0,x-axis,control,30.0,1.53975,0.06169233,7.93283,128.59,390.74899,-12.105,overcoupled
0,30,30,0,diagonal,control,42.426,8.68619,0.02385122,3.06696,128.59,151.0697,-4.591,overcoupled
0,35,0,0,x-axis,control,35.0,2.49249,0.04799907,6.17205,128.59,304.01819,-10.013,overcoupled
0,35,35,0,diagonal,control,49.497,19.36431,0.00464091,0.59676,128.59,29.39478,-1.109,undercoupled
0,40,0,0,x-axis,control,40.0,5.20801,0.03219917,4.14039,128.59,203.94419,-6.813,overcoupled
0,40,40,0,diagonal,control,56.569,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,45,0,0,x-axis,control,45.0,15.98775,0.0155636,2.00128,128.59,98.5773,-1.942,overcoupled
0,45,45,0,diagonal,control,63.64,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,50,0,0,x-axis,control,50.0,15.77308,0.00384269,0.49412,128.59,24.33899,-2.0,undercoupled
0,50,50,0,diagonal,control,70.711,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,55,0,0,x-axis,control,55.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,55,55,0,diagonal,control,77.782,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,60,0,0,x-axis,control,60.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,60,60,0,diagonal,control,84.853,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,65,0,0,x-axis,control,65.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,65,65,0,diagonal,control,91.924,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,70,0,0,x-axis,control,70.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,70,70,0,diagonal,control,98.995,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,75,0,0,x-axis,control,75.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,80,0,0,x-axis,control,80.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,85,0,0,x-axis,control,85.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,90,0,0,x-axis,control,90.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,95,0,0,x-axis,control,95.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,100,0,0,x-axis,control,100.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,0,10,x-axis,control,0.0,0.62064,0.09809877,12.61422,128.59,621.3414,-16.051,overcoupled
0,0,5,10,y-axis,control,5.0,0.6338,0.09706145,12.48083,128.59,614.77116,-15.96,overcoupled
0,0,10,10,y-axis,control,10.0,0.67591,0.09394947,12.08067,128.59,595.06043,-15.681,overcoupled
0,0,15,10,y-axis,control,15.0,0.75597,0.08876285,11.41374,128.59,562.20921,-15.194,overcoupled
0,0,20,10,y-axis,control,20.0,0.89413,0.08150158,10.48004,128.59,516.21751,-14.465,overcoupled
0,0,25,10,y-axis,control,25.0,1.13479,0.07216565,9.27956,128.59,457.08531,-13.43,overcoupled
0,0,30,10,y-axis,control,30.0,1.58608,0.06075508,7.81231,128.59,384.81264,-11.976,overcoupled
0,0,35,10,y-axis,control,35.0,2.5659,0.04726986,6.07829,128.59,299.39947,-9.887,overcoupled
0,0,40,10,y-axis,control,40.0,5.35158,0.03170999,4.07749,128.59,200.84581,-6.695,overcoupled
0,0,45,10,y-axis,control,45.0,16.28192,0.01532716,1.97087,128.59,97.07969,-1.862,overcoupled
0,0,50,10,y-axis,control,50.0,15.48012,0.00378432,0.48661,128.59,23.96923,-2.082,undercoupled
0,0,55,10,y-axis,control,55.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,60,10,y-axis,control,60.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,65,10,y-axis,control,65.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,70,10,y-axis,control,70.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,75,10,y-axis,control,75.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,80,10,y-axis,control,80.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,85,10,y-axis,control,85.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,90,10,y-axis,control,90.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,95,10,y-axis,control,95.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,0,100,10,y-axis,control,100.0,0.0,0.0,0.0,128.59,0.0,-240.0,undercoupled
0,5,0,10,x-axis,control,5.0,0.6338,0.09706145,12.48083,128.59,614.77116,-15.96,overcoupled
0,5,5,10,diagonal,control,7.071,0.64739,0.09602412,12.34745,128.59,608.20092,-15.868,overcoupled
0,10,0,10,x-axis,control,10.0,0.67591,0.09394947,12.08067,128.59,595.06043,-15.681,overcoupled
0,10,10,10,diagonal,control,14.142,0.73886,0.08980018,11.54713,128.59,568.77946,-15.294,overcoupled
0,15,0,10,x-axis,control,15.0,0.75597,0.08876285,11.41374,128.59,562.20921,-15.194,overcoupled
0,15,15,10,diagonal,control,21.213,0.94055,0.07942693,10.21326,128.59,503.07702,-14.246,overcoupled
0,20,0,10,x-axis,control,20.0,0.89413,0.08150158,10.48004,128.59,516.21751,-14.465,overcoupled
0,20,20,10,diagonal,control,28.284,1.39533,0.06490438,8.34585,128.59,411.09361,-12.533,overcoupled
0,25,0,10,x-axis,control,25.0,1.13479,0.07216565,9.27956,128.59,457.08531,-13.43,overcoupled
0,25,25,10,diagonal,control,35.355,2.67593,0.04623253,5.9449,128.59,292.82923,-9.705,overcoupled
0,30,0,10,x-axis,control,30.0,1.58608,0.06075508,7.81231,128.59,384.81264,-11.976,overcoupled
