angle_deg,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
0,0.60215,0.61172,0.63936,0.6823,0.73704,0.80008,0.86839,0.9395,1.01151,1.08298,1.15288,1.22049,1.28534,1.34715,1.40578,1.46119,1.51341,1.56253
10,0.62064,0.6305,0.65897,0.70322,0.7596,0.82454,0.8949,0.96814,1.0423,1.11589,1.18786,1.25747,1.32423,1.38785,1.4482,1.50523,1.55897,1.60952
20,0.68083,0.69163,0.72282,0.77129,0.83304,0.90413,0.98115,1.06129,1.14241,1.2229,1.30158,1.37766,1.4506,1.52011,1.58601,1.64827,1.70694,1.76211
30,0.79963,0.81229,0.84883,0.90559,0.97787,1.06105,1.15112,1.24479,1.33954,1.43349,1.52529,1.61399,1.699,1.77995,1.85668,1.92913,1.99736,2.0615
40,1.01742,1.03345,1.07972,1.15154,1.24294,1.34805,1.46172,1.57982,1.69916,1.81736,1.93273,2.04409,2.15071,2.25214,2.34818,2.43879,2.52406,2.60414
50,1.43261,1.45498,1.51952,1.6196,1.74679,1.89279,2.05039,2.21381,2.37859,2.54145,2.70008,2.85289,2.99891,3.13757,3.26862,3.39206,3.50804,3.6168
60,2.32338,2.35895,2.46148,2.6201,2.82106,3.05087,3.29792,3.55293,3.80891,4.06075,4.30494,4.53915,4.76199,4.97274,5.17117,5.35738,5.53173,5.69471
70,4.70718,4.77531,4.97098,5.27178,5.64956,6.07702,6.53114,6.99407,7.45281,7.89836,8.32491,8.729,9.10893,9.46417,9.79505,10.10239,10.38737,10.65133
80,13.98734,14.13581,14.55492,15.17843,15.92668,16.7281,17.52877,18.29321,19.00111,19.64315,20.21728,20.72586,21.17364,21.56646,21.91046,22.21155,22.47521,22.70639
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
