x_offset_mm,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
0,0.60215,0.61172,0.63936,0.6823,0.73704,0.80008,0.86839,0.9395,1.01151,1.08298,1.15288,1.22049,1.28534,1.34715,1.40578,1.46119,1.51341,1.56253
5,0.61493,0.6247,0.65292,0.69677,0.75266,0.81702,0.88676,0.95936,1.03287,1.10582,1.17717,1.24617,1.31235,1.37543,1.43526,1.4918,1.54508,1.5952
10,0.65579,0.66621,0.6963,0.74305,0.80261,0.8712,0.94551,1.02285,1.10114,1.17882,1.25478,1.32823,1.39866,1.46577,1.52942,1.58956,1.64623,1.69952
15,0.73351,0.74515,0.77879,0.83103,0.89758,0.97419,1.05715,1.14347,1.23081,1.31745,1.40212,1.48397,1.56243,1.63717,1.70802,1.77494,1.83799,1.89726
20,0.86764,0.8814,0.92114,0.98283,1.06139,1.15178,1.2496,1.3513,1.45415,1.55609,1.65566,1.75185,1.84399,1.93171,2.01482,2.09328,2.16715,2.23657
25,1.10134,1.11877,1.16907,1.24714,1.34647,1.46064,1.58407,1.71226,1.84173,1.96991,2.09495,2.21561,2.33107,2.44088,2.5448,2.64282,2.73502,2.82159
30,1.53975,1.564,1.63394,1.74237,1.8801,2.03813,2.20862,2.3853,2.56334,2.73921,2.9104,3.07522,3.23261,3.38199,3.5231,3.65594,3.78069,3.89762
35,2.49249,2.53123,2.64284,2.81542,3.03391,3.28353,3.55163,3.82808,4.10529,4.37772,4.64158,4.8944,5.13468,5.36171,5.57525,5.77547,5.96276,6.13768
40,5.20801,5.28518,5.50659,5.84633,6.2719,6.75198,7.26029,7.7766,8.28633,8.77955,9.24997,9.694,10.10998,10.49761,10.85746,11.19068,11.49873,11.78327
45,15.98775,16.15316,16.61646,17.29569,18.09437,18.9288,19.73916,20.48926,21.16131,21.75009,22.25799,22.69152,23.05893,23.36889,23.62965,23.8487,24.03259,24.18699
50,15.77308,15.60078,15.12145,14.42706,13.62206,12.79189,11.99265,11.25457,10.58989,10.00002,9.4807,9.02514,8.62586,8.27557,7.96762,7.69613,7.45602,7.24294
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
