sagitta_h_mm,mean_eta_pct,max_eta_pct,std_eta,median_eta_pct,pct_poses_nonzero
0,3.20079,24.99999,5.99267,0.0,45.81818
5,3.217,24.99841,6.0082,0.0,45.81818
10,3.26309,24.99375,6.05328,0.0,45.81818
15,3.3326,24.9994,6.1234,0.0,45.81818
20,3.4177,24.9696,6.21185,0.0,45.81818
25,3.5112,24.85167,6.31109,0.0,45.81818
30,3.60747,24.92788,6.4143,0.0,45.81818
35,3.70258,24.99666,6.51619,0.0,45.81818
40,3.794,24.98047,6.61326,0.0,45.81818
45,3.88026,24.99056,6.70352,0.0,45.81818
50,3.96067,24.99818,6.7861,0.0,45.81818
55,4.03499,24.98876,6.86088,0.0,45.81818
60,4.10333,24.99987,6.92815,0.0,45.81818
65,4.16595,24.99993,6.98847,0.0,45.81818
70,4.22324,24.98922,7.04247,0.0,45.81818
75,4.27559,24.96318,7.09082,0.0,45.81818
80,4.32344,24.98976,7.13414,0.0,45.81818
85,4.36718,24.99965,7.17303,0.0,45.81818
